file_path,emotion
RAVDESS/Actor_16/03-01-05-01-02-01-16.wav,angry
RAVDESS/Actor_16/03-01-06-01-02-02-16.wav,fearful
RAVDESS/Actor_16/03-01-06-02-01-02-16.wav,fearful
RAVDESS/Actor_16/03-01-05-02-01-01-16.wav,angry
RAVDESS/Actor_16/03-01-07-01-01-01-16.wav,disgust
RAVDESS/Actor_16/03-01-04-01-01-02-16.wav,sad
RAVDESS/Actor_16/03-01-04-02-02-02-16.wav,sad
RAVDESS/Actor_16/03-01-07-02-02-01-16.wav,disgust
RAVDESS/Actor_16/03-01-08-02-02-01-16.wav,surprised
RAVDESS/Actor_16/03-01-08-01-01-01-16.wav,surprised
RAVDESS/Actor_16/03-01-03-02-02-02-16.wav,happy
RAVDESS/Actor_16/03-01-03-01-01-02-16.wav,happy
RAVDESS/Actor_16/03-01-02-02-01-01-16.wav,calm
RAVDESS/Actor_16/03-01-01-01-02-02-16.wav,neutral
RAVDESS/Actor_16/03-01-02-01-02-01-16.wav,calm
RAVDESS/Actor_16/03-01-03-02-01-01-16.wav,happy
RAVDESS/Actor_16/03-01-03-01-02-01-16.wav,happy
RAVDESS/Actor_16/03-01-02-02-02-02-16.wav,calm
RAVDESS/Actor_16/03-01-02-01-01-02-16.wav,calm
RAVDESS/Actor_16/03-01-01-01-01-01-16.wav,neutral
RAVDESS/Actor_16/03-01-06-01-01-01-16.wav,fearful
RAVDESS/Actor_16/03-01-05-01-01-02-16.wav,angry
RAVDESS/Actor_16/03-01-05-02-02-02-16.wav,angry
RAVDESS/Actor_16/03-01-06-02-02-01-16.wav,fearful
RAVDESS/Actor_16/03-01-04-01-02-01-16.wav,sad
RAVDESS/Actor_16/03-01-07-01-02-02-16.wav,disgust
RAVDESS/Actor_16/03-01-07-02-01-02-16.wav,disgust
RAVDESS/Actor_16/03-01-04-02-01-01-16.wav,sad
RAVDESS/Actor_16/03-01-08-02-01-02-16.wav,surprised
RAVDESS/Actor_16/03-01-08-01-02-02-16.wav,surprised
RAVDESS/Actor_16/03-01-02-01-02-02-16.wav,calm
RAVDESS/Actor_16/03-01-01-01-02-01-16.wav,neutral
RAVDESS/Actor_16/03-01-02-02-01-02-16.wav,calm
RAVDESS/Actor_16/03-01-03-01-01-01-16.wav,happy
RAVDESS/Actor_16/03-01-03-02-02-01-16.wav,happy
RAVDESS/Actor_16/03-01-07-02-02-02-16.wav,disgust
RAVDESS/Actor_16/03-01-04-02-02-01-16.wav,sad
RAVDESS/Actor_16/03-01-04-01-01-01-16.wav,sad
RAVDESS/Actor_16/03-01-07-01-01-02-16.wav,disgust
RAVDESS/Actor_16/03-01-05-02-01-02-16.wav,angry
RAVDESS/Actor_16/03-01-06-02-01-01-16.wav,fearful
RAVDESS/Actor_16/03-01-06-01-02-01-16.wav,fearful
RAVDESS/Actor_16/03-01-05-01-02-02-16.wav,angry
RAVDESS/Actor_16/03-01-08-01-01-02-16.wav,surprised
RAVDESS/Actor_16/03-01-08-02-02-02-16.wav,surprised
RAVDESS/Actor_16/03-01-04-02-01-02-16.wav,sad
RAVDESS/Actor_16/03-01-07-02-01-01-16.wav,disgust
RAVDESS/Actor_16/03-01-07-01-02-01-16.wav,disgust
RAVDESS/Actor_16/03-01-04-01-02-02-16.wav,sad
RAVDESS/Actor_16/03-01-06-02-02-02-16.wav,fearful
RAVDESS/Actor_16/03-01-05-02-02-01-16.wav,angry
RAVDESS/Actor_16/03-01-05-01-01-01-16.wav,angry
RAVDESS/Actor_16/03-01-06-01-01-02-16.wav,fearful
RAVDESS/Actor_16/03-01-08-01-02-01-16.wav,surprised
RAVDESS/Actor_16/03-01-08-02-01-01-16.wav,surprised
RAVDESS/Actor_16/03-01-01-01-01-02-16.wav,neutral
RAVDESS/Actor_16/03-01-02-01-01-01-16.wav,calm
RAVDESS/Actor_16/03-01-02-02-02-01-16.wav,calm
RAVDESS/Actor_16/03-01-03-01-02-02-16.wav,happy
RAVDESS/Actor_16/03-01-03-02-01-02-16.wav,happy
RAVDESS/Actor_11/03-01-01-01-02-02-11.wav,neutral
RAVDESS/Actor_11/03-01-02-01-02-01-11.wav,calm
RAVDESS/Actor_11/03-01-02-02-01-01-11.wav,calm
RAVDESS/Actor_11/03-01-03-01-01-02-11.wav,happy
RAVDESS/Actor_11/03-01-03-02-02-02-11.wav,happy
RAVDESS/Actor_11/03-01-04-02-02-02-11.wav,sad
RAVDESS/Actor_11/03-01-07-02-02-01-11.wav,disgust
RAVDESS/Actor_11/03-01-07-01-01-01-11.wav,disgust
RAVDESS/Actor_11/03-01-04-01-01-02-11.wav,sad
RAVDESS/Actor_11/03-01-06-02-01-02-11.wav,fearful
RAVDESS/Actor_11/03-01-05-02-01-01-11.wav,angry
RAVDESS/Actor_11/03-01-05-01-02-01-11.wav,angry
RAVDESS/Actor_11/03-01-06-01-02-02-11.wav,fearful
RAVDESS/Actor_11/03-01-08-01-01-01-11.wav,surprised
RAVDESS/Actor_11/03-01-08-02-02-01-11.wav,surprised
RAVDESS/Actor_11/03-01-07-02-01-02-11.wav,disgust
RAVDESS/Actor_11/03-01-04-02-01-01-11.wav,sad
RAVDESS/Actor_11/03-01-04-01-02-01-11.wav,sad
RAVDESS/Actor_11/03-01-07-01-02-02-11.wav,disgust
RAVDESS/Actor_11/03-01-05-02-02-02-11.wav,angry
RAVDESS/Actor_11/03-01-06-02-02-01-11.wav,fearful
RAVDESS/Actor_11/03-01-06-01-01-01-11.wav,fearful
RAVDESS/Actor_11/03-01-05-01-01-02-11.wav,angry
RAVDESS/Actor_11/03-01-08-01-02-02-11.wav,surprised
RAVDESS/Actor_11/03-01-08-02-01-02-11.wav,surprised
RAVDESS/Actor_11/03-01-02-01-01-02-11.wav,calm
RAVDESS/Actor_11/03-01-01-01-01-01-11.wav,neutral
RAVDESS/Actor_11/03-01-02-02-02-02-11.wav,calm
RAVDESS/Actor_11/03-01-03-01-02-01-11.wav,happy
RAVDESS/Actor_11/03-01-03-02-01-01-11.wav,happy
RAVDESS/Actor_11/03-01-06-01-02-01-11.wav,fearful
RAVDESS/Actor_11/03-01-05-01-02-02-11.wav,angry
RAVDESS/Actor_11/03-01-05-02-01-02-11.wav,angry
RAVDESS/Actor_11/03-01-06-02-01-01-11.wav,fearful
RAVDESS/Actor_11/03-01-04-01-01-01-11.wav,sad
RAVDESS/Actor_11/03-01-07-01-01-02-11.wav,disgust
RAVDESS/Actor_11/03-01-07-02-02-02-11.wav,disgust
RAVDESS/Actor_11/03-01-04-02-02-01-11.wav,sad
RAVDESS/Actor_11/03-01-08-02-02-02-11.wav,surprised
RAVDESS/Actor_11/03-01-08-01-01-02-11.wav,surprised
RAVDESS/Actor_11/03-01-03-02-02-01-11.wav,happy
RAVDESS/Actor_11/03-01-03-01-01-01-11.wav,happy
RAVDESS/Actor_11/03-01-02-02-01-02-11.wav,calm
RAVDESS/Actor_11/03-01-02-01-02-02-11.wav,calm
RAVDESS/Actor_11/03-01-01-01-02-01-11.wav,neutral
RAVDESS/Actor_11/03-01-03-02-01-02-11.wav,happy
RAVDESS/Actor_11/03-01-03-01-02-02-11.wav,happy
RAVDESS/Actor_11/03-01-02-02-02-01-11.wav,calm
RAVDESS/Actor_11/03-01-01-01-01-02-11.wav,neutral
RAVDESS/Actor_11/03-01-02-01-01-01-11.wav,calm
RAVDESS/Actor_11/03-01-05-01-01-01-11.wav,angry
RAVDESS/Actor_11/03-01-06-01-01-02-11.wav,fearful
RAVDESS/Actor_11/03-01-06-02-02-02-11.wav,fearful
RAVDESS/Actor_11/03-01-05-02-02-01-11.wav,angry
RAVDESS/Actor_11/03-01-07-01-02-01-11.wav,disgust
RAVDESS/Actor_11/03-01-04-01-02-02-11.wav,sad
RAVDESS/Actor_11/03-01-04-02-01-02-11.wav,sad
RAVDESS/Actor_11/03-01-07-02-01-01-11.wav,disgust
RAVDESS/Actor_11/03-01-08-02-01-01-11.wav,surprised
RAVDESS/Actor_11/03-01-08-01-02-01-11.wav,surprised
RAVDESS/Actor_18/03-01-03-02-01-02-18.wav,happy
RAVDESS/Actor_18/03-01-03-01-02-02-18.wav,happy
RAVDESS/Actor_18/03-01-02-02-02-01-18.wav,calm
RAVDESS/Actor_18/03-01-02-01-01-01-18.wav,calm
RAVDESS/Actor_18/03-01-01-01-01-02-18.wav,neutral
RAVDESS/Actor_18/03-01-06-01-01-02-18.wav,fearful
RAVDESS/Actor_18/03-01-05-01-01-01-18.wav,angry
RAVDESS/Actor_18/03-01-05-02-02-01-18.wav,angry
RAVDESS/Actor_18/03-01-06-02-02-02-18.wav,fearful
RAVDESS/Actor_18/03-01-04-01-02-02-18.wav,sad
RAVDESS/Actor_18/03-01-07-01-02-01-18.wav,disgust
RAVDESS/Actor_18/03-01-07-02-01-01-18.wav,disgust
RAVDESS/Actor_18/03-01-04-02-01-02-18.wav,sad
RAVDESS/Actor_18/03-01-08-02-01-01-18.wav,surprised
RAVDESS/Actor_18/03-01-08-01-02-01-18.wav,surprised
RAVDESS/Actor_18/03-01-05-01-02-02-18.wav,angry
RAVDESS/Actor_18/03-01-06-01-02-01-18.wav,fearful
RAVDESS/Actor_18/03-01-06-02-01-01-18.wav,fearful
RAVDESS/Actor_18/03-01-05-02-01-02-18.wav,angry
RAVDESS/Actor_18/03-01-07-01-01-02-18.wav,disgust
RAVDESS/Actor_18/03-01-04-01-01-01-18.wav,sad
RAVDESS/Actor_18/03-01-04-02-02-01-18.wav,sad
RAVDESS/Actor_18/03-01-07-02-02-02-18.wav,disgust
RAVDESS/Actor_18/03-01-08-02-02-02-18.wav,surprised
RAVDESS/Actor_18/03-01-08-01-01-02-18.wav,surprised
RAVDESS/Actor_18/03-01-03-02-02-01-18.wav,happy
RAVDESS/Actor_18/03-01-03-01-01-01-18.wav,happy
RAVDESS/Actor_18/03-01-02-02-01-02-18.wav,calm
RAVDESS/Actor_18/03-01-01-01-02-01-18.wav,neutral
RAVDESS/Actor_18/03-01-02-01-02-02-18.wav,calm
RAVDESS/Actor_18/03-01-04-02-01-01-18.wav,sad
RAVDESS/Actor_18/03-01-07-02-01-02-18.wav,disgust
RAVDESS/Actor_18/03-01-07-01-02-02-18.wav,disgust
RAVDESS/Actor_18/03-01-04-01-02-01-18.wav,sad
RAVDESS/Actor_18/03-01-06-02-02-01-18.wav,fearful
RAVDESS/Actor_18/03-01-05-02-02-02-18.wav,angry
RAVDESS/Actor_18/03-01-05-01-01-02-18.wav,angry
RAVDESS/Actor_18/03-01-06-01-01-01-18.wav,fearful
RAVDESS/Actor_18/03-01-08-01-02-02-18.wav,surprised
RAVDESS/Actor_18/03-01-08-02-01-02-18.wav,surprised
RAVDESS/Actor_18/03-01-01-01-01-01-18.wav,neutral
RAVDESS/Actor_18/03-01-02-01-01-02-18.wav,calm
RAVDESS/Actor_18/03-01-02-02-02-02-18.wav,calm
RAVDESS/Actor_18/03-01-03-01-02-01-18.wav,happy
RAVDESS/Actor_18/03-01-03-02-01-01-18.wav,happy
RAVDESS/Actor_18/03-01-02-01-02-01-18.wav,calm
RAVDESS/Actor_18/03-01-01-01-02-02-18.wav,neutral
RAVDESS/Actor_18/03-01-02-02-01-01-18.wav,calm
RAVDESS/Actor_18/03-01-03-01-01-02-18.wav,happy
RAVDESS/Actor_18/03-01-03-02-02-02-18.wav,happy
RAVDESS/Actor_18/03-01-07-02-02-01-18.wav,disgust
RAVDESS/Actor_18/03-01-04-02-02-02-18.wav,sad
RAVDESS/Actor_18/03-01-04-01-01-02-18.wav,sad
RAVDESS/Actor_18/03-01-07-01-01-01-18.wav,disgust
RAVDESS/Actor_18/03-01-05-02-01-01-18.wav,angry
RAVDESS/Actor_18/03-01-06-02-01-02-18.wav,fearful
RAVDESS/Actor_18/03-01-06-01-02-02-18.wav,fearful
RAVDESS/Actor_18/03-01-05-01-02-01-18.wav,angry
RAVDESS/Actor_18/03-01-08-01-01-01-18.wav,surprised
RAVDESS/Actor_18/03-01-08-02-02-01-18.wav,surprised
RAVDESS/Actor_20/03-01-08-01-02-01-20.wav,surprised
RAVDESS/Actor_20/03-01-08-02-01-01-20.wav,surprised
RAVDESS/Actor_20/03-01-04-02-01-02-20.wav,sad
RAVDESS/Actor_20/03-01-07-02-01-01-20.wav,disgust
RAVDESS/Actor_20/03-01-07-01-02-01-20.wav,disgust
RAVDESS/Actor_20/03-01-04-01-02-02-20.wav,sad
